#Supplementary Table 6. All ENCODE profiles informations.				
Accession	Cell type / Tissue	Feature	Treatment	Download link
ENCFF195YWM	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF195YWM/@@download/ENCFF195YWM.bed.gz
ENCFF149NMR	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF149NMR/@@download/ENCFF149NMR.bed.gz
ENCFF617DDH	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF617DDH/@@download/ENCFF617DDH.bed.gz
ENCFF817MGC	right renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF817MGC/@@download/ENCFF817MGC.bed.gz
ENCFF227WDB	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF227WDB/@@download/ENCFF227WDB.bed.gz
ENCFF171NVI	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF171NVI/@@download/ENCFF171NVI.bed.gz
ENCFF312ZGX	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF312ZGX/@@download/ENCFF312ZGX.bed.gz
ENCFF198WIN	right renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF198WIN/@@download/ENCFF198WIN.bed.gz
ENCFF732VLL	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF732VLL/@@download/ENCFF732VLL.bed.gz
ENCFF173MJQ	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF173MJQ/@@download/ENCFF173MJQ.bed.gz
ENCFF348DBB	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF348DBB/@@download/ENCFF348DBB.bed.gz
ENCFF152JIP	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF152JIP/@@download/ENCFF152JIP.bed.gz
ENCFF641CNI	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF641CNI/@@download/ENCFF641CNI.bed.gz
ENCFF464PRA	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF464PRA/@@download/ENCFF464PRA.bed.gz
ENCFF787OCX	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF787OCX/@@download/ENCFF787OCX.bed.gz
ENCFF106EDT	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF106EDT/@@download/ENCFF106EDT.bed.gz
ENCFF980YON	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF980YON/@@download/ENCFF980YON.bed.gz
ENCFF276EBZ	CD4-positive helper T cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF276EBZ/@@download/ENCFF276EBZ.bed.gz
ENCFF116PRN	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF116PRN/@@download/ENCFF116PRN.bed.gz
ENCFF415JJI	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF415JJI/@@download/ENCFF415JJI.bed.gz
ENCFF327DJR	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF327DJR/@@download/ENCFF327DJR.bed.gz
ENCFF921FAL	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF921FAL/@@download/ENCFF921FAL.bed.gz
ENCFF526VCU	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF526VCU/@@download/ENCFF526VCU.bed.gz
ENCFF492MCV	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF492MCV/@@download/ENCFF492MCV.bed.gz
ENCFF355SRP	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF355SRP/@@download/ENCFF355SRP.bed.gz
ENCFF165LZK	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF165LZK/@@download/ENCFF165LZK.bed.gz
ENCFF905NQU	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF905NQU/@@download/ENCFF905NQU.bed.gz
ENCFF180TWQ	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF180TWQ/@@download/ENCFF180TWQ.bed.gz
ENCFF916EFR	ovary	DNase-seq	None	https://www.encodeproject.org/files/ENCFF916EFR/@@download/ENCFF916EFR.bed.gz
ENCFF178AYH	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF178AYH/@@download/ENCFF178AYH.bed.gz
ENCFF521ZLX	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF521ZLX/@@download/ENCFF521ZLX.bed.gz
ENCFF574UTF	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF574UTF/@@download/ENCFF574UTF.bed.gz
ENCFF317VBE	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF317VBE/@@download/ENCFF317VBE.bed.gz
ENCFF016DSD	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF016DSD/@@download/ENCFF016DSD.bed.gz
ENCFF250JHL	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF250JHL/@@download/ENCFF250JHL.bed.gz
ENCFF336JBS	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF336JBS/@@download/ENCFF336JBS.bed.gz
ENCFF504INS	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF504INS/@@download/ENCFF504INS.bed.gz
ENCFF531MCH	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF531MCH/@@download/ENCFF531MCH.bed.gz
ENCFF698LRC	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF698LRC/@@download/ENCFF698LRC.bed.gz
ENCFF167XAJ	CD4-positive helper T cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF167XAJ/@@download/ENCFF167XAJ.bed.gz
ENCFF696SPY	fibroblast of skin of abdomen	DNase-seq	None	https://www.encodeproject.org/files/ENCFF696SPY/@@download/ENCFF696SPY.bed.gz
ENCFF848SAN	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF848SAN/@@download/ENCFF848SAN.bed.gz
ENCFF617MXO	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF617MXO/@@download/ENCFF617MXO.bed.gz
ENCFF668TER	T-cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF668TER/@@download/ENCFF668TER.bed.gz
ENCFF645VRE	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF645VRE/@@download/ENCFF645VRE.bed.gz
ENCFF551HRI	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF551HRI/@@download/ENCFF551HRI.bed.gz
ENCFF067CKQ	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF067CKQ/@@download/ENCFF067CKQ.bed.gz
ENCFF216PTJ	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF216PTJ/@@download/ENCFF216PTJ.bed.gz
ENCFF898XAX	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF898XAX/@@download/ENCFF898XAX.bed.gz
ENCFF516TPQ	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF516TPQ/@@download/ENCFF516TPQ.bed.gz
ENCFF681WSK	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF681WSK/@@download/ENCFF681WSK.bed.gz
ENCFF898PPG	right renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF898PPG/@@download/ENCFF898PPG.bed.gz
ENCFF354YEA	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF354YEA/@@download/ENCFF354YEA.bed.gz
ENCFF456NFP	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF456NFP/@@download/ENCFF456NFP.bed.gz
ENCFF094EMV	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF094EMV/@@download/ENCFF094EMV.bed.gz
ENCFF187NZJ	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF187NZJ/@@download/ENCFF187NZJ.bed.gz
ENCFF294NFN	thoracic segment muscle	DNase-seq	None	https://www.encodeproject.org/files/ENCFF294NFN/@@download/ENCFF294NFN.bed.gz
ENCFF675RVL	natural killer cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF675RVL/@@download/ENCFF675RVL.bed.gz
ENCFF800DOC	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF800DOC/@@download/ENCFF800DOC.bed.gz
ENCFF347SKO	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF347SKO/@@download/ENCFF347SKO.bed.gz
ENCFF378KGO	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF378KGO/@@download/ENCFF378KGO.bed.gz
ENCFF727YVM	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF727YVM/@@download/ENCFF727YVM.bed.gz
ENCFF501IFI	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF501IFI/@@download/ENCFF501IFI.bed.gz
ENCFF653SUH	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF653SUH/@@download/ENCFF653SUH.bed.gz
ENCFF880ORV	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF880ORV/@@download/ENCFF880ORV.bed.gz
ENCFF518QQC	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF518QQC/@@download/ENCFF518QQC.bed.gz
ENCFF614QQR	CD8-positive, alpha-beta T cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF614QQR/@@download/ENCFF614QQR.bed.gz
ENCFF900JRB	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF900JRB/@@download/ENCFF900JRB.bed.gz
ENCFF740XLE	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF740XLE/@@download/ENCFF740XLE.bed.gz
ENCFF944LHE	B cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF944LHE/@@download/ENCFF944LHE.bed.gz
ENCFF747BVJ	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF747BVJ/@@download/ENCFF747BVJ.bed.gz
ENCFF337KZM	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF337KZM/@@download/ENCFF337KZM.bed.gz
ENCFF810WAZ	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF810WAZ/@@download/ENCFF810WAZ.bed.gz
ENCFF057CCO	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF057CCO/@@download/ENCFF057CCO.bed.gz
ENCFF009MPE	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF009MPE/@@download/ENCFF009MPE.bed.gz
ENCFF399OBI	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF399OBI/@@download/ENCFF399OBI.bed.gz
ENCFF291MQR	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF291MQR/@@download/ENCFF291MQR.bed.gz
ENCFF444ZRC	B cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF444ZRC/@@download/ENCFF444ZRC.bed.gz
ENCFF908SUH	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF908SUH/@@download/ENCFF908SUH.bed.gz
ENCFF969YOA	skin fibroblast	DNase-seq	None	https://www.encodeproject.org/files/ENCFF969YOA/@@download/ENCFF969YOA.bed.gz
ENCFF024TPY	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF024TPY/@@download/ENCFF024TPY.bed.gz
ENCFF047EML	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF047EML/@@download/ENCFF047EML.bed.gz
ENCFF856UQI	hindlimb muscle	DNase-seq	None	https://www.encodeproject.org/files/ENCFF856UQI/@@download/ENCFF856UQI.bed.gz
ENCFF714RWU	left renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF714RWU/@@download/ENCFF714RWU.bed.gz
ENCFF007TSW	CD14-positive monocyte	DNase-seq	None	https://www.encodeproject.org/files/ENCFF007TSW/@@download/ENCFF007TSW.bed.gz
ENCFF831JPV	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF831JPV/@@download/ENCFF831JPV.bed.gz
ENCFF755CWG	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF755CWG/@@download/ENCFF755CWG.bed.gz
ENCFF782KJY	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF782KJY/@@download/ENCFF782KJY.bed.gz
ENCFF131SCF	T-cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF131SCF/@@download/ENCFF131SCF.bed.gz
ENCFF711OGS	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF711OGS/@@download/ENCFF711OGS.bed.gz
ENCFF711GHU	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF711GHU/@@download/ENCFF711GHU.bed.gz
ENCFF227RVA	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF227RVA/@@download/ENCFF227RVA.bed.gz
ENCFF757CMC	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF757CMC/@@download/ENCFF757CMC.bed.gz
ENCFF420ADF	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF420ADF/@@download/ENCFF420ADF.bed.gz
ENCFF330NPA	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF330NPA/@@download/ENCFF330NPA.bed.gz
ENCFF630OHJ	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF630OHJ/@@download/ENCFF630OHJ.bed.gz
ENCFF097UAJ	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF097UAJ/@@download/ENCFF097UAJ.bed.gz
ENCFF733UOT	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF733UOT/@@download/ENCFF733UOT.bed.gz
ENCFF382AEJ	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF382AEJ/@@download/ENCFF382AEJ.bed.gz
ENCFF197CRC	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF197CRC/@@download/ENCFF197CRC.bed.gz
ENCFF064JZR	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF064JZR/@@download/ENCFF064JZR.bed.gz
ENCFF056LVP	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF056LVP/@@download/ENCFF056LVP.bed.gz
ENCFF208CUI	hematopoietic multipotent progenitor cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF208CUI/@@download/ENCFF208CUI.bed.gz
ENCFF133ICX	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF133ICX/@@download/ENCFF133ICX.bed.gz
ENCFF459NWX	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF459NWX/@@download/ENCFF459NWX.bed.gz
ENCFF143DJJ	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF143DJJ/@@download/ENCFF143DJJ.bed.gz
ENCFF232BIG	placenta	DNase-seq	None	https://www.encodeproject.org/files/ENCFF232BIG/@@download/ENCFF232BIG.bed.gz
ENCFF917MLF	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF917MLF/@@download/ENCFF917MLF.bed.gz
ENCFF448GNP	thymus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF448GNP/@@download/ENCFF448GNP.bed.gz
ENCFF203FLV	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF203FLV/@@download/ENCFF203FLV.bed.gz
ENCFF411ADY	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF411ADY/@@download/ENCFF411ADY.bed.gz
ENCFF841MMD	right renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF841MMD/@@download/ENCFF841MMD.bed.gz
ENCFF593LQN	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF593LQN/@@download/ENCFF593LQN.bed.gz
ENCFF757IKL	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF757IKL/@@download/ENCFF757IKL.bed.gz
ENCFF630USR	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF630USR/@@download/ENCFF630USR.bed.gz
ENCFF062FOP	CD8-positive, alpha-beta T cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF062FOP/@@download/ENCFF062FOP.bed.gz
ENCFF498MDZ	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF498MDZ/@@download/ENCFF498MDZ.bed.gz
ENCFF979SJD	muscle of trunk	DNase-seq	None	https://www.encodeproject.org/files/ENCFF979SJD/@@download/ENCFF979SJD.bed.gz
ENCFF060JZA	forelimb muscle	DNase-seq	None	https://www.encodeproject.org/files/ENCFF060JZA/@@download/ENCFF060JZA.bed.gz
ENCFF342IEP	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF342IEP/@@download/ENCFF342IEP.bed.gz
ENCFF678IKQ	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF678IKQ/@@download/ENCFF678IKQ.bed.gz
ENCFF412SKC	spinal cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF412SKC/@@download/ENCFF412SKC.bed.gz
ENCFF701RGI	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF701RGI/@@download/ENCFF701RGI.bed.gz
ENCFF316VYS	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF316VYS/@@download/ENCFF316VYS.bed.gz
ENCFF543KDP	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF543KDP/@@download/ENCFF543KDP.bed.gz
ENCFF228QBR	CD14-positive monocyte	DNase-seq	None	https://www.encodeproject.org/files/ENCFF228QBR/@@download/ENCFF228QBR.bed.gz
ENCFF518XTM	testis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF518XTM/@@download/ENCFF518XTM.bed.gz
ENCFF032FWK	pancreas	DNase-seq	None	https://www.encodeproject.org/files/ENCFF032FWK/@@download/ENCFF032FWK.bed.gz
ENCFF235WMX	CD4-positive helper T cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF235WMX/@@download/ENCFF235WMX.bed.gz
ENCFF456LZZ	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF456LZZ/@@download/ENCFF456LZZ.bed.gz
ENCFF875NRF	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF875NRF/@@download/ENCFF875NRF.bed.gz
ENCFF346CWN	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF346CWN/@@download/ENCFF346CWN.bed.gz
ENCFF884KLO	muscle of trunk	DNase-seq	None	https://www.encodeproject.org/files/ENCFF884KLO/@@download/ENCFF884KLO.bed.gz
ENCFF158UAN	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF158UAN/@@download/ENCFF158UAN.bed.gz
ENCFF466TCI	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF466TCI/@@download/ENCFF466TCI.bed.gz
ENCFF532WPU	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF532WPU/@@download/ENCFF532WPU.bed.gz
ENCFF553KUB	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF553KUB/@@download/ENCFF553KUB.bed.gz
ENCFF826HLM	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF826HLM/@@download/ENCFF826HLM.bed.gz
ENCFF712HXM	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF712HXM/@@download/ENCFF712HXM.bed.gz
ENCFF777SVA	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF777SVA/@@download/ENCFF777SVA.bed.gz
ENCFF979NIV	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF979NIV/@@download/ENCFF979NIV.bed.gz
ENCFF033JMX	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF033JMX/@@download/ENCFF033JMX.bed.gz
ENCFF116GQA	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF116GQA/@@download/ENCFF116GQA.bed.gz
ENCFF194DCA	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF194DCA/@@download/ENCFF194DCA.bed.gz
ENCFF936OHE	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF936OHE/@@download/ENCFF936OHE.bed.gz
ENCFF929EGO	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF929EGO/@@download/ENCFF929EGO.bed.gz
ENCFF290EPY	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF290EPY/@@download/ENCFF290EPY.bed.gz
ENCFF197KHQ	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF197KHQ/@@download/ENCFF197KHQ.bed.gz
ENCFF987DJP	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF987DJP/@@download/ENCFF987DJP.bed.gz
ENCFF934EAN	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF934EAN/@@download/ENCFF934EAN.bed.gz
ENCFF351STM	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF351STM/@@download/ENCFF351STM.bed.gz
ENCFF868NGL	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF868NGL/@@download/ENCFF868NGL.bed.gz
ENCFF106VZG	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF106VZG/@@download/ENCFF106VZG.bed.gz
ENCFF596AFS	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF596AFS/@@download/ENCFF596AFS.bed.gz
ENCFF982PAZ	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF982PAZ/@@download/ENCFF982PAZ.bed.gz
ENCFF665BXP	spinal cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF665BXP/@@download/ENCFF665BXP.bed.gz
ENCFF646LUA	common myeloid progenitor, CD34-positive	DNase-seq	None	https://www.encodeproject.org/files/ENCFF646LUA/@@download/ENCFF646LUA.bed.gz
ENCFF373HMJ	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF373HMJ/@@download/ENCFF373HMJ.bed.gz
ENCFF338PYM	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF338PYM/@@download/ENCFF338PYM.bed.gz
ENCFF875AFU	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF875AFU/@@download/ENCFF875AFU.bed.gz
ENCFF975DXH	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF975DXH/@@download/ENCFF975DXH.bed.gz
ENCFF949YFS	right renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF949YFS/@@download/ENCFF949YFS.bed.gz
ENCFF721HLN	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF721HLN/@@download/ENCFF721HLN.bed.gz
ENCFF976JED	skin of body	DNase-seq	None	https://www.encodeproject.org/files/ENCFF976JED/@@download/ENCFF976JED.bed.gz
ENCFF507IEW	iPS DF 19.7	DNase-seq	None	https://www.encodeproject.org/files/ENCFF507IEW/@@download/ENCFF507IEW.bed.gz
ENCFF241USC	left renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF241USC/@@download/ENCFF241USC.bed.gz
ENCFF194KXV	renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF194KXV/@@download/ENCFF194KXV.bed.gz
ENCFF613FIB	right renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF613FIB/@@download/ENCFF613FIB.bed.gz
ENCFF635WCC	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF635WCC/@@download/ENCFF635WCC.bed.gz
ENCFF020FWO	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF020FWO/@@download/ENCFF020FWO.bed.gz
ENCFF058TUX	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF058TUX/@@download/ENCFF058TUX.bed.gz
ENCFF358CVP	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF358CVP/@@download/ENCFF358CVP.bed.gz
ENCFF225QPG	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF225QPG/@@download/ENCFF225QPG.bed.gz
ENCFF460YVL	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF460YVL/@@download/ENCFF460YVL.bed.gz
ENCFF581CUG	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF581CUG/@@download/ENCFF581CUG.bed.gz
ENCFF007GQK	heart	DNase-seq	None	https://www.encodeproject.org/files/ENCFF007GQK/@@download/ENCFF007GQK.bed.gz
ENCFF125FSL	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF125FSL/@@download/ENCFF125FSL.bed.gz
ENCFF807UWE	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF807UWE/@@download/ENCFF807UWE.bed.gz
ENCFF422SQQ	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF422SQQ/@@download/ENCFF422SQQ.bed.gz
